,district,students_in_grade_12_20,sat_20_grade_12_takers,sat_20_grade_12_at_erwb_benchmark,sat_20_grade_12_at_math_benchmark,students_in_grade_11_20,sat_20_grade_11_takers,sat_20_grade_11_at_erwb_benchmark,sat_20_grade_11_at_math_benchmark,sat_20_grade_12_at_both_benchmarks,sat_20_grade_11_at_both_benchmarks,sat_20_g12_participation,sat_20_g11_Participation,act_test_takers_20,act_eng_20,act_read_20,act_math_20,act_sci_20,act_comp_over_21_20,act_20_participation
0,Castro Valley Unified,781,329,0.9057999999999999,0.7659999999999999,786,154,0.961,0.9351,0.7204,0.9220999999999999,0.4212548015364917,0.19592875318066158,99.0,25.0,26.0,25.0,25.0,0.83,0.1267605633802817
1,Maxwell Unified,26,8,,,23,9,,,,,0.3076923076923077,0.391304347826087,0.0,,,,,,0.0
2,Contra Costa County Office of Education,899,372,0.7608,0.5188,848,37,0.973,0.8378,0.5054,0.8378,0.41379310344827586,0.04363207547169811,102.0,18.0,19.0,18.0,18.0,0.31,0.11345939933259176
3,San Ramon Valley Unified,2748,1002,0.9511,0.8493,2760,838,0.9893000000000001,0.9761,0.8312999999999999,0.9714,0.3646288209606987,0.3036231884057971,962.0,28.0,28.0,28.0,27.0,0.91,0.3500727802037846
4,Sanger Unified,857,260,0.5577000000000001,0.3346,854,80,0.8375,0.7875,0.2808,0.725,0.3033838973162194,0.0936768149882904,71.0,18.0,20.0,20.0,20.0,0.41,0.08284714119019837
5,Upper Lake Unified,69,7,,,75,56,0.4643,0.10710000000000001,,0.10710000000000001,0.10144927536231885,0.7466666666666667,15.0,15.0,18.0,15.0,16.0,0.07,0.21739130434782608
6,Bellflower Unified,998,226,0.7965000000000001,0.5,960,15,1.0,0.8667,0.48229999999999995,0.8667,0.22645290581162325,0.015625,26.0,20.0,21.0,20.0,21.0,0.42,0.026052104208416832
7,West Covina Unified,1160,352,0.7898000000000001,0.5368999999999999,1100,26,0.8845999999999999,0.7308,0.4972,0.7308,0.30344827586206896,0.023636363636363636,55.0,23.0,23.0,23.0,23.0,0.65,0.04741379310344827
8,San Rafael City High,733,234,0.8761,0.6325,715,34,0.9412,0.8824,0.6197,0.8529000000000001,0.31923601637107774,0.04755244755244755,104.0,24.0,25.0,24.0,23.0,0.85,0.14188267394270124
9,Anderson Valley Unified,22,5,,,37,1,,,,,0.22727272727272727,0.02702702702702703,2.0,,,,,,0.09090909090909091
10,North Monterey County Unified,330,91,0.49450000000000005,0.2198,360,3,,,0.20879999999999999,,0.27575757575757576,0.008333333333333333,39.0,16.0,18.0,17.0,17.0,0.23,0.11818181818181818
11,Brea-Olinda Unified,450,125,0.904,0.768,443,55,0.9818000000000001,0.9818000000000001,0.7440000000000001,0.9818000000000001,0.2777777777777778,0.12415349887133183,79.0,24.0,24.0,25.0,25.0,0.72,0.17555555555555555
12,Orange Unified,2152,1676,0.5095000000000001,0.3126,2199,153,0.9542,0.8954000000000001,0.30010000000000003,0.8889,0.7788104089219331,0.06957708049113233,181.0,26.0,26.0,24.0,25.0,0.83,0.08410780669144981
13,Los Alamitos Unified,752,306,0.902,0.7059000000000001,803,119,0.9915999999999999,0.8992,0.6765000000000001,0.8992,0.40691489361702127,0.14819427148194272,262.0,26.0,27.0,25.0,25.0,0.82,0.3484042553191489
14,Tahoe-Truckee Unified,315,96,0.7604000000000001,0.6667000000000001,301,57,0.8946999999999999,0.8245999999999999,0.625,0.807,0.3047619047619048,0.1893687707641196,65.0,24.0,25.0,24.0,24.0,0.88,0.20634920634920634
15,Hemet Unified,1848,1232,0.4253,0.1989,1761,19,0.47369999999999995,0.5263,0.18510000000000001,0.4211,0.6666666666666666,0.010789324247586598,128.0,19.0,20.0,19.0,20.0,0.37,0.06926406926406926
16,Center Joint Unified,316,59,0.7797,0.7458,333,7,,,0.6779999999999999,,0.18670886075949367,0.021021021021021023,16.0,20.0,24.0,22.0,22.0,0.5,0.05063291139240506
17,Barstow Unified,370,34,0.7940999999999999,0.6175999999999999,380,0,,,0.5588000000000001,,0.0918918918918919,0.0,22.0,17.0,18.0,19.0,19.0,0.36,0.05945945945945946
18,Victor Valley Union High,2063,482,0.6162,0.31120000000000003,1995,1504,0.41359999999999997,0.2114,0.29460000000000003,0.1935,0.23364032961706252,0.7538847117794486,212.0,19.0,20.0,19.0,20.0,0.36,0.10276296655356278
19,Snowline Joint Unified,544,124,0.7903,0.5403,590,16,0.9375,0.9375,0.5161,0.875,0.22794117647058823,0.02711864406779661,37.0,21.0,23.0,22.0,22.0,0.65,0.06801470588235294
20,San Francisco Unified,4428,2043,0.7425,0.6324000000000001,4483,616,0.9448000000000001,0.9318000000000001,0.5815,0.9091,0.4613821138211382,0.13740798572384563,924.0,21.0,22.0,22.0,22.0,0.53,0.2086720867208672
21,San Luis Obispo County Office of Education,180,0,,,155,0,,,,,0.0,0.0,0.0,,,,,,0.0
22,La Honda-Pescadero Unified,21,15,0.8,0.7333,21,0,,,0.6667000000000001,,0.7142857142857143,0.0,0.0,,,,,,0.0
23,Morgan Hill Unified,678,264,0.7955,0.6742,682,84,0.9643,0.8809999999999999,0.6325999999999999,0.8571,0.3893805309734513,0.12316715542521994,119.0,25.0,26.0,25.0,24.0,0.84,0.17551622418879056
24,Twin Hills Union Elementary,25,0,,,24,0,,,,,0.0,0.0,1.0,,,,,,0.04
25,Woodlake Unified,171,34,0.6175999999999999,0.3529,173,0,,,0.29410000000000003,,0.19883040935672514,0.0,34.0,18.0,20.0,19.0,20.0,0.38,0.19883040935672514
26,Mesa Union Elementary,19,2,,,21,2,,,,,0.10526315789473684,0.09523809523809523,3.0,,,,,,0.15789473684210525
27,Oak Park Unified,404,134,0.9776,0.8731,410,98,0.9898,1.0,0.8582,0.9898,0.3316831683168317,0.23902439024390243,138.0,30.0,29.0,27.0,27.0,0.96,0.3415841584158416
28,Camptonville Elementary,44,5,,,61,20,0.7,0.5,,0.4,0.11363636363636363,0.32786885245901637,3.0,,,,,,0.06818181818181818
29,Albany City Unified,258,91,0.9451,0.9451,298,52,1.0,0.9808,0.9340999999999999,0.9808,0.35271317829457366,0.174496644295302,29.0,28.0,29.0,26.0,26.0,0.93,0.1124031007751938
30,Gridley Unified,165,53,0.5472,0.4717,172,3,,,0.3774,,0.3212121212121212,0.01744186046511628,21.0,21.0,23.0,22.0,21.0,0.62,0.12727272727272726
31,Del Norte County Office of Education,100,0,,,53,0,,,,,0.0,0.0,0.0,,,,,,0.0
32,Del Norte County Unified,244,10,,,227,2,,,,,0.040983606557377046,0.00881057268722467,32.0,20.0,21.0,21.0,21.0,0.53,0.13114754098360656
33,Washington Unified,337,114,0.4561,0.193,342,5,,,0.16670000000000001,,0.33827893175074186,0.014619883040935672,144.0,16.0,18.0,17.0,18.0,0.16,0.42729970326409494
34,Humboldt County Office of Education,100,13,,,97,0,,,,,0.13,0.0,0.0,,,,,,0.0
35,Fortuna Union High,230,70,0.7857,0.5143,279,18,0.8889,0.7222,0.5143,0.6667000000000001,0.30434782608695654,0.06451612903225806,8.0,,,,,,0.034782608695652174
36,Central Union High,958,219,0.6620999999999999,0.4703,954,6,,,0.3973,,0.22860125260960334,0.006289308176100629,98.0,18.0,20.0,20.0,19.0,0.4,0.1022964509394572
37,Lone Pine Unified,18,11,,,22,0,,,,,0.6111111111111112,0.0,0.0,,,,,,0.0
38,Delano Joint Union High,1022,271,0.5129,0.3395,1102,18,0.7778,0.6111,0.2768,0.6111,0.2651663405088063,0.016333938294010888,185.0,18.0,20.0,20.0,18.0,0.35,0.18101761252446183
39,Big Valley Joint Unified,14,6,,,11,2,,,,,0.42857142857142855,0.18181818181818182,,,,,,,
40,Fort Sage Unified,35,2,,,43,0,,,,,0.05714285714285714,0.0,0.0,,,,,,0.0
41,Los Angeles County Office of Education,1032,324,0.6142,0.38270000000000004,1199,22,0.8636,0.7726999999999999,0.3611,0.7726999999999999,0.313953488372093,0.01834862385321101,0.0,,,,,,0.0
42,Antelope Valley Union High,5585,1028,0.6448999999999999,0.2918,5273,3842,0.41590000000000005,0.2043,0.2792,0.1864,0.18406445837063562,0.7286174853024844,317.0,20.0,21.0,19.0,20.0,0.39,0.0567591763652641
